name,abbreviation,division,conference
Atlanta Hawks,ATL,Southeast,Eastern
Boston Celtics,BOS,Atlantic,Eastern
Brooklyn Nets,BKN,Atlantic,Eastern
Charlotte Hornets,CHA,Southeast,Eastern
Chicago Bulls,CHI,Central,Eastern
Cleveland Cavaliers,CLE,Central,Eastern
Dallas Mavericks,DAL,Southwest,Western
Denver Nuggets,DEN,Northwest,Western
Detroit Pistons,DET,Central,Eastern
Golden State Warriors,GSW,Pacific,Western
Houston Rockets,HOU,Southwest,Western
Indiana Pacers,IND,Central,Eastern
Los Angeles Clippers,LAC,Pacific,Western
Los Angeles Lakers,LAL,Pacific,Western
Memphis Grizzlies,MEM,Southwest,Western
Miami Heat,MIA,Southeast,Eastern
Milwaukee Bucks,MIL,Central,Eastern
Minnesota Timberwolves,MIN,Northwest,Western
New Orleans Pelicans,NOP,Southwest,Western
New York Knicks,NYK,Atlantic,Eastern
Oklahoma City Thunder,OKC,Northwest,Western
Orlando Magic,ORL,Southeast,Eastern
Philadelphia 76ers,PHI,Atlantic,Eastern
Phoenix Suns,PHX,Pacific,Western
Portland Trail Blazers,POR,Northwest,Western
Sacramento Kings,SAC,Pacific,Western
San Antonio Spurs,SAS,Southwest,Western
Toronto Raptors,TOR,Atlantic,Eastern
Utah Jazz,UTA,Northwest,Western
Washington Wizards,WAS,Southeast,Eastern
